DateTime,Avery_Discharge,Bradley_Discharge,Copper_Discharge,EastQuigley_Discharge,Gothic_Discharge,Marmot_Discharge,PHISCO_Discharge,Quigley_Discharge,Rock_Discharge,Rustlers_Discharge,00_Precipitation,01_Precipitation,02_Precipitation,10_Precipitation,11_Precipitation,12_Precipitation,20_Precipitation,21_Precipitation,22_Precipitation,Castnet_AirTemperature,ERCSMWS_AirTemperature,JuddFalls_AirTemperature,KettlePonds_AirTemperature,ERCSMWS_RelativeHumidity,JuddFalls_RelativeHumidity,ERCSMWS_SnowDepth,JuddFalls_SnowDepth,JuddFalls_SoilMoisture_508,JuddFalls_SoilMoisture_2540,JuddFalls_SoilMoisture_5080,KettlePonds_SoilMoisture_508,KettlePonds_SoilMoisture_2540,KettlePonds_SoilMoisture_5080,ERCSMWS_SoilTemperature_508,ERCSMWS_SoilTemperature_1016,ERCSMWS_SoilTemperature_2032,ERCSMWS_SoilTemperature_5080,ERCSMWS_SoilTemperature_10160,JuddFalls_SoilTemperature_508,JuddFalls_SoilTemperature_2540,JuddFalls_SoilTemperature_5080,KettlePonds_SoilTemperature_508,KettlePonds_SoilTemperature_2540,KettlePonds_SoilTemperature_5080
2014-05-01,,,,,,,4568.230152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-02,,,,,,,4543.77985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-03,,,,,,,4977.8399469999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-04,,,,,,,6078.2899860000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,,,,,,,7209.310055000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-06,,,,,,,7820.670128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07,,,,,,,8126.350403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-08,,,,,,,7392.720222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,,,,,,,6261.700153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-10,,,,,,,5656.449795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-11,,,,,,,5589.20002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-12,,,,,,,5320.199965999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-13,,,,,,,4849.460125000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
